file_id,light_id,n_charge_hits,charge_x,charge_y,charge_z,charge_E,charge_Q,fprompt,integral,integral_total,tpc,det,n_valid_sumhits,period,window
0,181,8,3.420100524321093,8.7675421833992,35.9629487991333,2.505204918971522,74.4363801368657,,,0.0,-1,-1,0,128,prompt
0,1641,8,19.272693780893594,-23.01869559288025,-21.65747320652008,2.8096860790964997,83.48333482226577,,,0.0,-1,-1,0,128,prompt
0,1885,8,16.19987772535411,-25.970076143741608,-0.7724866867065421,3.1133905001034634,92.50721049811344,,,0.0,-1,-1,0,128,prompt
0,1913,7,-2.099828079396698,19.10974829537528,6.918315614972793,2.534582455485455,75.30926580736545,,,0.0,-1,-1,0,128,prompt
0,2239,7,8.091086180281428,-10.150692735399518,11.096246310642787,2.4455209113571117,72.6630076493561,,,0.0,-1,-1,0,128,prompt
0,2757,6,-18.08363560038312,4.937443812688191,-4.078357060750325,1.2995794449756828,38.614002731553214,,,0.0,-1,-1,0,128,prompt
0,2807,6,55.38199671392317,-16.036300202210743,12.216799974441528,2.989140484086013,88.81540814124935,,,0.0,-1,-1,0,128,prompt
0,3813,8,-11.13716168301906,0.9075843691825867,22.126224994659424,2.0407183472719073,60.6352340678662,,,0.0,-1,-1,0,128,prompt
0,3955,12,14.060436029964523,-1.9953003724416092,-22.813683072725933,4.736781292630139,140.74251980479175,,,0.0,-1,-1,0,128,prompt
0,4517,16,-12.387488019648476,18.62799620628357,-0.3873459994792938,6.46547132625755,192.10655294533336,0.3954393267631531,337.7669372558594,433.65399169921875,4,5,2,128,prompt
0,5151,7,11.989863870466124,39.05087212153843,-18.942842755998885,3.106622359601277,92.30611082940959,,,0.0,-1,-1,0,128,prompt
0,5475,9,-9.266627680762845,32.251191563076446,34.59716373019748,3.8000031719691902,112.90832078763356,,,0.0,-1,-1,0,128,prompt
0,6229,6,35.87212215759815,15.514381090799967,-34.59611415863037,2.8565063070315357,84.87448979656536,0.4312707185745239,126.38114166259766,126.38114166259766,2,4,1,128,prompt
1,150,7,-23.05471011887067,-48.91652079990932,-0.6617712293352399,1.6999955302978025,50.51144222412343,,,0.0,-1,-1,0,128,prompt
1,1076,6,10.962261855197132,8.336844166119894,35.667664766311646,1.6302302541672211,48.43852811834189,,,0.0,-1,-1,0,128,prompt
1,1610,8,-54.513925676751775,59.79664659500122,30.590187549591064,2.073638798585115,61.61338927172598,,,0.0,-1,-1,0,128,prompt
1,1692,10,-22.42874583002639,27.10005416870117,-14.553846454620361,4.966415708561084,147.56557629302517,,,0.0,-1,-1,0,128,prompt
1,2294,7,9.214317197920744,0.08313751220703125,-8.400216102600098,1.8506429719253568,54.98758313647582,,,0.0,-1,-1,0,128,prompt
1,3746,6,0.44307552753767254,34.705286502838135,16.34743316968282,2.0366149393192585,60.51331077452324,0.3585590124130249,205.21380615234375,329.8956298828125,4,6,2,128,prompt
1,3778,6,-10.711204372706236,-33.07948752244314,21.586566925048828,1.4428163924071973,42.8699579182585,,,0.0,-1,-1,0,128,prompt
