file_idx,event_id,fprompt,integral,tpc,det,n_valid
0,39,0.6213834881782532,55.785518646240234,0,15,1
0,120,0.674601674079895,39.315513610839844,1,5,1
0,339,0.442898690700531,82.76201629638672,3,5,1
0,345,0.39401891827583313,314.0634765625,4,15,1
0,375,0.43015196919441223,86.50867462158203,1,7,1
0,376,0.317667692899704,195.50262451171875,4,4,1
0,378,0.37026453018188477,90.9190673828125,6,14,1
0,442,0.3560856282711029,466.5431213378906,0,3,2
0,469,0.37868061661720276,206.75965881347656,7,6,1
0,478,0.35162806510925293,142.82884216308594,0,9,1
0,479,0.34498026967048645,202.50962829589844,3,15,1
0,613,0.8590809106826782,44.12067413330078,3,11,1
0,739,1.0,16.823335647583008,6,13,1
0,883,0.7888748049736023,263.08673095703125,7,4,1
0,961,0.4120074212551117,216.427490234375,6,14,2
0,980,0.6586097478866577,211.3515167236328,5,1,2
0,1157,0.5299138426780701,61.88389587402344,5,14,1
0,1172,0.19496546685695648,164.5779571533203,7,14,1
0,1221,0.4535375237464905,232.54763793945312,7,14,2
0,1320,0.7759995460510254,170.2573699951172,7,10,1
0,1396,0.3145532011985779,211.1278839111328,4,9,2
0,1589,0.6115393042564392,71.53981018066406,6,15,1
1,192,0.61688232421875,52.19655990600586,5,5,1
1,322,0.6632662415504456,52.63521194458008,4,14,1
1,599,0.6031824946403503,56.83076477050781,2,1,1
1,613,0.42990314960479736,64.22325134277344,0,6,1
1,687,0.23033228516578674,153.5191192626953,6,4,1
1,892,0.29136747121810913,91.75452423095703,5,11,1
1,899,0.3295813798904419,102.33488464355469,2,12,1
1,915,0.4733757972717285,102.63780975341797,0,9,1
1,946,0.31869933009147644,89.6483154296875,1,7,1
1,948,0.5826521515846252,124.74842834472656,2,3,1
1,1017,0.37311944365501404,108.44820404052734,7,3,1
1,1319,0.41808992624282837,118.96448516845703,6,12,1
1,1343,0.5342856645584106,82.00093841552734,4,15,1
1,1358,0.5636763572692871,99.32443237304688,6,6,1
1,1603,0.4938634932041168,54.66105270385742,6,2,1
2,122,0.3686826527118683,141.9989776611328,7,8,1
2,161,0.6335376501083374,75.58193969726562,4,15,2
2,292,0.6325604319572449,42.14796447753906,7,0,1
2,294,0.2678450644016266,152.77407836914062,4,6,1
2,493,0.7308392524719238,39.65106201171875,0,2,1
2,662,0.42461860179901123,90.04862976074219,5,15,1
2,810,0.4103855490684509,64.62982940673828,1,13,1
2,838,0.40353643894195557,84.96798706054688,6,14,1
2,912,0.6257755160331726,63.17451477050781,3,12,1
2,996,0.46272510290145874,109.84548950195312,3,5,1
2,1084,0.3255603015422821,209.2054901123047,6,6,1
2,1155,0.7677783966064453,38.60150909423828,7,0,1
2,1267,0.6684515476226807,43.910911560058594,7,0,1
2,1402,0.40892013907432556,203.13479614257812,1,5,1
2,1425,0.3081977069377899,380.09527587890625,6,11,1
2,1473,0.7652714848518372,61.420772552490234,5,11,1
2,1487,0.3894859850406647,81.20283508300781,4,13,1
3,17,0.31615129113197327,103.4452896118164,6,3,2
3,53,0.5274630784988403,129.8466033935547,4,14,1
3,79,0.519123375415802,109.20649719238281,7,0,1
3,122,0.6606348752975464,55.67730712890625,0,2,1
3,211,0.23348453640937805,311.2803955078125,0,10,1
3,280,0.7366699576377869,34.097877502441406,2,15,1
3,481,0.32501691579818726,90.96255493164062,0,13,1
3,531,0.29455122351646423,90.853759765625,7,7,1
3,573,0.43918952345848083,60.035850524902344,0,5,1
3,598,0.2387923300266266,180.13548278808594,0,14,1
3,741,0.29064667224884033,174.07215881347656,6,6,1
3,771,0.2742511034011841,258.1435546875,7,7,1
3,1015,0.454132616519928,223.18800354003906,2,4,1
3,1053,0.6415695548057556,44.520423889160156,6,13,1
3,1231,0.4041447043418884,263.85211181640625,2,15,1
3,1300,1.0971490144729614,26.18703842163086,0,14,1
3,1313,0.5138656497001648,105.93656921386719,0,9,1
3,1355,0.3554515838623047,267.3750915527344,4,10,1
3,1356,0.5273858308792114,54.02401351928711,7,0,1
3,1390,0.4492565989494324,104.31059265136719,6,2,1
3,1502,0.21789081394672394,178.64651489257812,0,2,1
3,1511,0.3899063169956207,539.2804565429688,6,6,1
3,1525,0.3837376832962036,153.28826904296875,4,11,2
3,1563,0.3374435305595398,200.87680053710938,1,3,1
4,129,0.5378021597862244,74.46219635009766,7,5,1
4,135,0.5093588829040527,92.38839721679688,3,10,1
4,141,0.46264490485191345,74.64683532714844,5,6,1
4,291,0.41120830178260803,98.53810119628906,7,12,2
4,328,0.45081090927124023,88.9048843383789,4,10,1
4,347,0.5529603958129883,66.9761734008789,5,15,1
4,395,0.40726253390312195,206.04470825195312,6,14,2
4,434,0.6154510378837585,62.14703369140625,0,3,1
4,451,0.4355798363685608,107.708740234375,3,14,1
4,615,0.34472304582595825,77.62486267089844,7,2,1
4,657,0.571671724319458,58.65497589111328,4,5,1
4,702,0.30918923020362854,85.80255889892578,6,2,1
4,709,0.6094574332237244,51.48906707763672,7,2,1
4,951,0.42075008153915405,158.94271850585938,4,11,1
4,1124,0.4116632044315338,211.46067810058594,1,11,1
4,1309,0.8064876794815063,30.966655731201172,7,1,1
4,1364,0.2432769238948822,125.88745880126953,7,13,2
4,1529,0.7303272485733032,50.99956130981445,2,5,1
5,246,0.25746944546699524,213.42910766601562,5,11,1
5,389,0.7926669716835022,34.40679931640625,7,0,1
5,479,0.6743183732032776,160.47825622558594,4,7,1
5,621,0.4686952233314514,233.09120178222656,4,14,1
5,642,0.5900322794914246,72.17211151123047,4,15,1
5,746,0.5108169913291931,68.17423248291016,2,14,1
5,860,0.23217254877090454,214.65496826171875,7,1,2
5,884,0.3227311670780182,139.30209350585938,7,11,1
5,919,0.6687037348747253,53.84027862548828,5,15,1
5,933,0.847335934638977,42.1956672668457,0,15,1
5,1021,0.7174760103225708,76.61062622070312,2,0,1
5,1074,0.4233744442462921,149.7521209716797,7,13,1
5,1127,0.8061248660087585,30.68684196472168,7,6,1
5,1140,0.3030363917350769,203.86485290527344,7,9,1
5,1368,0.34770870208740234,84.17320251464844,7,3,1
5,1373,0.37738627195358276,727.3418579101562,5,9,1
5,1476,0.19168570637702942,148.50112915039062,5,4,2
5,1484,0.6011596918106079,97.80369567871094,6,14,1
5,1551,0.5172063708305359,52.213226318359375,5,4,1
