file_id,light_id,n_charge_hits,charge_x,charge_y,charge_z,charge_E,charge_Q,fprompt,integral,integral_total,tpc,det,n_valid_sumhits,period,window
0,221,6,-19.16124102583726,-58.519561767578125,12.808000087738037,2.3964631897471262,71.20537071644263,,,0.0,-1,-1,0,no_source,background
0,438,8,-9.247451002878705,-0.22169983386993408,0.8313746452331543,2.290577779060702,68.059230206692,,,0.0,-1,-1,0,no_source,background
0,568,43,46.73906286315323,-19.195095228594404,53.46846709140512,19.41839367231831,576.9727346828764,,,0.0,-1,-1,0,no_source,background
0,774,6,-23.575432138993865,-2.004537502924601,3.6259249448776245,1.9586675783642735,58.19728490902527,,,0.0,-1,-1,0,no_source,background
0,1335,7,-5.203685039002636,-28.959562029157365,47.66108758108957,1.845117741177471,54.82341366148439,,,0.0,-1,-1,0,no_source,background
0,1388,6,-34.175786242640385,-50.88938649495443,11.320762475331625,1.7061379422906555,50.69394981485773,,,0.0,-1,-1,0,no_source,background
1,289,33,-9.565110287651672,11.750100135803224,-24.41029930114746,46.57223278545272,1383.786371002238,,,0.0,-1,-1,0,no_source,background
1,508,8,-10.153437786501268,29.596949577331543,-11.884250164031982,3.370252040702618,100.13925813373322,,,0.0,-1,-1,0,no_source,background
1,737,6,-15.071661917385361,-4.720362424850464,57.42512448628744,2.6262978407978808,78.03437672895728,,,0.0,-1,-1,0,no_source,background
1,1027,7,21.567322981084082,-47.41212844848633,18.456070763724192,1.7427950466994855,51.7831310382495,,,0.0,-1,-1,0,no_source,background
1,1177,9,34.71536822167569,-37.17169952392578,-18.25196631749471,3.5597690740293007,105.77031922110622,,,0.0,-1,-1,0,no_source,background
2,298,6,-29.947938296926395,15.131024837493896,9.05757474899292,1.7842379438316223,53.014511042950744,,,0.0,-1,-1,0,no_source,background
2,461,9,1.815984686363787,-15.515920639038086,56.442871517605255,3.341228966531261,99.27690449335856,,,0.0,-1,-1,0,no_source,background
3,51,60,-36.82217230722482,-49.78643010457357,-53.57863006591797,28.172287178484282,837.0744691829507,,,0.0,-1,-1,0,no_source,background
3,308,6,26.060576502880707,21.72659969329834,25.8882999420166,2.294306634715042,68.17002454325905,,,0.0,-1,-1,0,no_source,background
3,371,6,-50.419690248560265,52.39509963989258,-51.08820025126139,2.066261364510024,61.39418585124347,,,0.0,-1,-1,0,no_source,background
3,490,51,-22.338181465324293,11.306699752807615,-24.853700637817383,39.95071065004078,1187.0431285538166,,,0.0,-1,-1,0,no_source,background
3,596,429,-21.03317116176438,-17.740134307415612,45.47412591325097,189.47141028811308,5629.7055041166295,,,0.0,-1,-1,0,no_source,background
3,767,16,-30.343392880526697,11.306699752807615,-27.07069969177246,3.315458506269742,98.51119476566257,,,0.0,-1,-1,0,no_source,background
3,1270,531,32.55428060592424,2.9071508590728325,54.97149888090719,217.588995173907,6465.15462096923,,,0.0,-1,-1,0,no_source,background
3,1585,81,-10.784792817003037,-55.69049237098223,-59.51553679101261,36.67993697263374,1089.8596403092392,,,0.0,-1,-1,0,no_source,background
3,1610,6,-3.3616829607836656,4.267724911371867,21.47277545928955,2.544453281090877,75.6025546004162,,,0.0,-1,-1,0,no_source,background
4,371,6,17.47698365716449,55.79450035095215,31.652499516805012,1.8314099007089166,54.4161168306959,,,0.0,-1,-1,0,no_source,background
4,459,6,-32.595388663165586,11.750100135803224,-24.853700637817383,2.5177153944618818,74.80810003180973,,,0.0,-1,-1,0,no_source,background
4,526,6,-20.07920120307597,45.005099614461265,51.605499267578125,2.061376531465176,61.2490443154442,,,0.0,-1,-1,0,no_source,background
4,568,50,-22.349356632699365,9.533100128173828,-27.07069969177246,19.127342479793956,568.3248204775489,,,0.0,-1,-1,0,no_source,background
4,716,7,20.5387514532961,-57.356956481933594,31.69472803388323,2.1108355840000614,62.71860587019612,,,0.0,-1,-1,0,no_source,background
4,1101,6,-22.928868883721382,-36.432701110839844,-56.630699157714844,2.22337197038241,66.06236476694325,,,0.0,-1,-1,0,no_source,background
4,1378,7,-25.305302435728187,-20.036137444632395,17.565312794276647,2.215531557072647,65.82940498743139,,,0.0,-1,-1,0,no_source,background
4,1579,6,-51.268470818238946,47.65626335144043,51.47617403666178,2.415301324590532,71.76510239972903,,,0.0,-1,-1,0,no_source,background
