file_id,light_id,n_charge_hits,charge_x,charge_y,charge_z,charge_E,charge_Q
0,206,5,-30.62696275266935,-24.48122215270996,40.13437271118164,1.6598886083186868,49.31975763658768
0,220,5,37.362837547847725,-10.419899940490724,52.078460693359375,2.026510232238314,60.21307273341413
0,221,6,-19.16124102583726,-58.519561767578125,12.808000087738037,2.3964631897471262,71.20537071644263
0,304,5,-20.444788821489308,-26.033122253417968,37.96171188354492,1.75326893557008,52.094338463869164
0,438,8,-9.247451002878705,-0.22169983386993408,0.8313746452331543,2.290577779060702,68.059230206692
0,568,43,46.73906286315323,-19.195095228594404,53.46846709140512,19.41839367231831,576.9727346828764
0,720,5,-61.92266253330929,-19.5151424407959,18.87334213256836,1.4170650715788098,42.10481687462875
0,774,6,-23.575432138993865,-2.004537502924601,3.6259249448776245,1.9586675783642735,58.19728490902527
0,877,5,25.31716179702419,9.001019859313967,49.95013961791992,1.8097876354343885,53.77366113966377
0,942,5,47.24487841238277,26.20493965148926,-5.5214599609375,1.9299424772972928,57.343784851485296
0,1004,5,-42.80354760702954,16.7217227935791,19.028532409667967,2.3380799802975067,69.47064844311008
0,1146,5,2.63476493057608,22.391700744628903,5.5214599609375,1.8631780249045287,55.360033294755276
0,1158,5,-35.30022094090439,4.616902446746826,16.390302658081055,1.3514531088265822,40.1553088866931
0,1283,5,4.630330533268939,-14.942580032348634,-12.172460174560547,1.6044970074504088,47.67392410520799
0,1335,7,-5.203685039002636,-28.959562029157365,47.66108758108957,1.845117741177471,54.82341366148439
0,1342,5,-10.262614890309262,-32.55110168457031,26.86562728881836,1.8008963338412676,53.50947664110835
0,1362,5,43.141995533246245,58.7504997253418,37.44626083374023,1.9583647939303297,58.188288368640954
0,1388,6,-34.175786242640385,-50.88938649495443,11.320762475331625,1.7061379422906555,50.69394981485773
0,1426,5,-20.527804350561333,61.49403762817383,60.231476593017575,1.750755084785049,52.01964519178396
0,1544,5,-4.777204161627134,9.039817619323731,63.18008804321289,1.5709875282638857,46.678267298043316
1,123,5,-22.887361119185368,59.24378204345703,39.20323181152344,1.8147716084245022,53.921748390041785
1,143,5,57.037517937917166,39.3295783996582,37.44626083374023,1.830866607022704,54.399974113169435
1,239,5,4.132237358836802,-50.946659088134766,-44.097259521484375,1.982470824603161,58.90454341395294
1,289,33,-9.565110287651672,11.750100135803224,-24.41029930114746,46.57223278545272,1383.786371002238
1,417,5,24.8733480069853,29.486099243164062,-52.96525955200195,2.3438478200731936,69.64202648522563
1,508,8,-10.153437786501268,29.596949577331543,-11.884250164031982,3.370252040702618,100.13925813373322
1,520,5,30.301286446309877,-8.912339973449708,-63.606859588623045,1.8616647058741855,55.315068513727596
1,646,5,15.629888135311978,-37.64466094970703,-62.36534118652344,2.0863476246454544,61.9910026959041
1,669,5,-60.983948473802556,57.92466735839844,16.07992305755615,1.2953666352678284,38.48882881764166
1,737,6,-15.071661917385361,-4.720362424850464,57.42512448628744,2.6262978407978808,78.03437672895728
1,1000,5,-39.55955616329202,5.392852401733398,48.669822692871094,1.3643940200859304,40.539818186720225
1,1027,7,21.567322981084082,-47.41212844848633,18.456070763724192,1.7427950466994855,51.7831310382495
1,1058,5,-6.424743123210358,8.031082344055175,31.986896514892578,2.094747527540162,62.2405864166801
1,1177,9,34.71536822167569,-37.17169952392578,-18.25196631749471,3.5597690740293007,105.77031922110622
1,1352,5,-63.174281279318244,61.41644287109375,27.020816802978516,2.0186915262738427,59.980757937549605
1,1505,5,-5.818091179991728,45.89744186401367,57.59324722290039,1.3619075020261442,40.46593704345974
1,1567,5,17.23591933235919,39.50693893432617,20.951779937744142,1.8947236832019283,56.297339698279714
2,50,5,58.67547818460746,-19.819980239868162,63.16345977783203,1.3472594425133617,40.03070377455472
2,298,6,-29.947938296926395,15.131024837493896,9.05757474899292,1.7842379438316223,53.014511042950744
