file_id,light_id,n_charge_hits,charge_x,charge_y,charge_z,charge_E,charge_Q,fprompt,integral,integral_total,tpc,det,n_valid_sumhits,period,window
0,1149,7,-37.56523272759261,30.93110888344901,-12.546651499611992,1.9701431101919131,58.53825384251499,,,0.0,-1,-1,0,109,prompt
0,1227,6,30.782099493662898,-45.53625615437826,16.877119143803913,2.4557975975773676,72.96835565352347,,,0.0,-1,-1,0,109,prompt
0,1313,9,-9.124956373013784,-6.139858643213908,28.85759703318278,2.9407367492517125,87.37720291544723,,,0.0,-1,-1,0,109,prompt
0,1437,6,-25.1213302925466,-2.2631876468658443,43.716674168904625,2.2984175990302345,68.29217235646884,,,0.0,-1,-1,0,109,prompt
0,1601,8,-6.669479162894001,-20.150451183319092,36.801252007484436,1.9437932252665142,57.75532784871051,,,0.0,-1,-1,0,109,prompt
0,1675,7,-22.014696625699617,54.55403545924595,22.24080719266619,3.54301901987515,105.2726300345293,0.4479822516441345,73.08012390136719,73.08012390136719,5,14,1,109,prompt
0,2047,6,-33.647258402319814,-50.29356908798218,6.070714632670085,2.6286403589631617,78.10397924782029,,,0.0,-1,-1,0,109,prompt
0,2199,9,-5.04751856182075,-7.513166851467556,12.618072350819906,2.638278835962997,78.39036433850369,,,0.0,-1,-1,0,109,prompt
0,2319,9,-10.419906545350536,7.648650248845418,-21.55479441748725,3.785288682632753,112.47111370989215,,,0.0,-1,-1,0,109,prompt
0,2781,6,-26.17192961837222,-21.384812831878662,-16.358141978581745,2.3889666833071406,70.98262933555218,,,0.0,-1,-1,0,109,prompt
0,3033,6,-13.67714811885771,7.4638999303181945,-39.7814998626709,2.10510921335881,62.54845998766616,,,0.0,-1,-1,0,109,prompt
0,3165,6,11.406134499253378,2.059962789217631,-1.495004653930664,2.5155808543327747,74.74467710011085,,,0.0,-1,-1,0,109,prompt
0,3909,6,-31.305869500377597,50.1226749420166,50.3122501373291,2.462183667967715,73.15810299097956,,,0.0,-1,-1,0,109,prompt
0,3939,6,-3.9148411904842413,-2.281662623087565,-15.05565357208252,1.2472444241813814,37.058988420023475,,,0.0,-1,-1,0,109,prompt
